                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.6106,4.2645,4.2567,0.00158,0.16695,0.00456,0.00079,3.6082,4.3548,4.1578,0.00021435,0.00021435,0.00021435
2,3.5353,4.1989,4.1707,0.00147,0.1494,0.0023,0.00054,3.6113,4.3575,4.1502,0.0004386,0.0004386,0.0004386
3,3.6027,3.9246,4.0694,0.00162,0.16344,0.0018,0.00053,3.654,4.3651,4.1565,0.00065833,0.00065833,0.00065833
4,3.3841,3.6757,3.8628,0.00174,0.10379,0.00168,0.00041,3.5754,4.2596,4.1284,0.00087353,0.00087353,0.00087353
5,3.2734,3.5264,3.6638,0.00109,0.12314,0.00082,0.0003,3.6983,4.3491,4.2031,0.0010842,0.0010842,0.0010842
6,3.2187,3.4648,3.4948,0.00312,0.15777,0.00219,0.00069,3.0845,4.732,3.8854,0.0012904,0.0012904,0.0012904
7,3.0744,3.3699,3.3746,0.00556,0.25986,0.01269,0.00367,3.1557,12.985,3.8985,0.0013441,0.0013441,0.0013441
8,2.9474,3.2627,3.2532,0.06922,0.12114,0.0167,0.00606,2.7782,10.384,3.3174,0.00133,0.00133,0.00133
9,2.7914,3.1621,3.0889,0.178,0.11013,0.01003,0.00321,3.2354,7.4694,3.6368,0.0013158,0.0013158,0.0013158
10,2.7595,3.0409,3.0163,0.08955,0.21765,0.04493,0.0202,2.7495,7.421,3.3274,0.0013017,0.0013017,0.0013017
11,2.648,2.9794,2.9787,0.17722,0.06765,0.04921,0.02033,2.9404,3.8096,3.4076,0.0012875,0.0012875,0.0012875
12,2.5345,2.8955,2.8683,0.12057,0.14065,0.09372,0.04704,2.3782,4.8133,2.8674,0.0012734,0.0012734,0.0012734
13,2.4828,2.7683,2.7389,0.09427,0.17506,0.07186,0.03483,2.4962,3.6801,2.8937,0.0012592,0.0012592,0.0012592
14,2.4615,2.7575,2.7585,0.12204,0.16915,0.09734,0.04986,2.2983,3.4485,2.8234,0.0012451,0.0012451,0.0012451
15,2.327,2.5516,2.6236,0.24296,0.20021,0.17862,0.08527,2.2706,3.1639,2.7319,0.0012309,0.0012309,0.0012309
16,2.2942,2.6312,2.6342,0.19379,0.22562,0.15035,0.08613,2.1749,3.1844,2.7216,0.0012168,0.0012168,0.0012168
17,2.2323,2.5322,2.6046,0.20938,0.25717,0.1659,0.08749,2.1484,3.3831,2.6357,0.0012026,0.0012026,0.0012026
18,2.114,2.3597,2.4427,0.63881,0.20764,0.21149,0.12091,1.9987,3.1178,2.41,0.0011885,0.0011885,0.0011885
19,2.1667,2.5638,2.6033,0.34246,0.30679,0.27388,0.15178,2.0782,2.5582,2.4887,0.0011744,0.0011744,0.0011744
20,2.0496,2.3223,2.4353,0.30299,0.24924,0.24036,0.13299,2.0212,2.5532,2.44,0.0011602,0.0011602,0.0011602
21,2.0175,2.3207,2.389,0.63495,0.27984,0.27781,0.1608,1.9453,2.4162,2.3979,0.0011461,0.0011461,0.0011461
22,1.9856,2.2671,2.3465,0.60388,0.21982,0.22127,0.13224,1.8599,2.6156,2.3352,0.0011319,0.0011319,0.0011319
